прикладные информационные системы;Практика
Современные методы разработки и проектирования программных комплексов;Лабораторная
Нейронные сети;Лабораторная
прикладные информационные системы;Лекция
интеллектуальный анализ и большие данные;Практика
Современные методы разработки и проектирования программных комплексов;Лекция
Современные методы разработки и проектирования программных комплексов;Практика
Иностранный язык в профессиональной сфере;Лабораторная
Data Mining and Big Data (Интеллектуальный анализ данных и большие данные);Лекция
Информационная безопасность корпоративных систем;Практика
интеллектуальный анализ и большие данные;Лабораторная
прикладные информационные системы;Лабораторная
Информационная безопасность корпоративных систем;Лекция
Интеллектуальный анализ данных;Лабораторная
Нейронные сети;Лекция
Командообразование в проектной и исследовательской деятельности;Лекция
Нейронные сети;Практика
Командообразование в проектной и исследовательской деятельности;Практика
Информационная безопасность корпоративных систем;Лабораторная
